"V2","V160A","V160B","V160C","V160D","V160E","V160F","V160G","V160H","V160I","V160J","V240","V242"
12,2,3,2,2,4,4,3,3,3,5,2,18
12,3,4,-1,-1,4,4,5,5,3,3,2,33
12,1,2,3,4,4,3,4,3,3,3,1,42
12,2,3,2,4,-1,5,3,5,5,-1,1,52
12,1,3,1,4,4,4,4,5,2,5,2,52
12,4,3,1,4,5,-1,5,5,5,5,1,60
12,-1,-1,3,-1,3,4,-1,5,-1,-1,2,65
12,2,4,2,1,3,2,4,5,3,2,1,19
12,2,3,2,4,1,4,4,4,4,2,1,24
12,5,4,1,1,1,2,3,2,3,3,1,39
12,5,1,1,5,1,5,5,5,5,1,1,18
12,1,5,5,1,5,5,1,1,5,5,2,20
12,1,3,5,1,1,5,1,5,5,1,1,22
12,1,5,1,1,4,4,5,5,5,5,2,23
12,5,1,1,5,1,5,5,5,1,1,2,30
12,3,4,1,5,1,5,5,5,1,3,1,44
12,4,1,1,5,3,5,5,5,1,5,2,45
12,5,2,1,5,1,5,1,5,1,1,1,54
12,5,1,1,5,1,5,5,5,1,1,2,72
12,4,3,1,5,1,5,5,5,5,5,1,35
12,1,5,5,3,1,3,5,4,5,5,2,18
12,4,4,3,1,2,4,1,3,5,5,2,21
12,1,5,5,1,5,3,1,1,3,4,1,23
12,2,1,1,3,1,5,1,1,5,1,1,23
12,4,1,1,1,1,5,5,5,5,5,1,33
12,5,3,1,5,1,5,2,5,1,5,1,42
12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,45
12,1,2,1,1,1,5,-1,5,5,5,2,55
12,5,1,1,5,1,5,5,5,1,3,1,71
12,3,2,1,5,1,5,5,5,1,1,2,30
12,3,2,2,3,2,2,1,2,1,4,1,26
12,2,3,4,3,4,3,2,2,3,3,2,28
12,3,3,4,2,1,3,1,1,2,3,1,29
12,4,3,3,2,4,3,2,3,2,2,2,30
12,2,3,2,4,4,3,3,4,2,3,1,30
12,2,3,3,2,3,4,3,2,3,3,2,35
12,2,3,3,4,2,2,3,4,3,3,2,44
12,2,3,3,2,2,3,4,3,2,2,1,44
12,2,2,3,3,2,2,3,2,3,2,1,52
12,3,2,1,2,3,2,3,3,2,3,2,62
12,2,2,4,3,3,3,2,2,3,3,1,26
12,2,3,4,3,2,2,2,3,3,4,2,28
12,1,2,3,2,2,1,3,2,4,2,2,29
12,3,2,3,4,2,1,2,3,2,3,1,30
12,2,3,2,3,3,3,3,4,3,2,1,33
12,2,3,4,3,1,2,3,2,5,2,2,37
12,3,4,3,2,2,4,4,5,3,2,1,40
12,2,3,2,3,4,3,2,1,2,3,2,40
12,4,3,1,3,4,3,4,3,1,2,1,56
12,3,2,4,2,1,3,3,4,2,3,2,62
12,2,5,5,5,5,5,5,5,2,2,2,18
12,3,3,3,3,3,3,3,3,3,3,2,19
12,4,3,2,3,-1,3,1,5,3,5,1,22
12,3,3,3,3,3,3,3,3,3,3,2,22
12,3,3,3,3,3,5,3,3,3,5,1,24
12,2,2,2,2,2,3,3,3,2,3,2,33
12,4,4,4,4,4,4,4,4,4,4,1,42
12,5,4,1,5,1,5,1,5,1,-1,2,72
12,3,3,2,3,2,4,4,4,3,3,1,32
12,4,4,1,3,2,3,1,4,3,2,2,58
12,3,3,3,3,3,3,3,3,3,3,2,22
12,1,2,1,5,5,5,5,5,2,5,1,22
12,3,4,1,4,-1,5,2,5,-1,4,2,22
12,4,4,2,3,3,4,3,4,2,3,2,38
12,4,4,2,2,3,2,4,2,3,3,1,39
12,3,4,4,4,3,5,2,4,3,4,2,39
